"args300_job_id","n1","p1","p2","q","degree","n2"
0,300,0.19,0.29,0.11,"True",700
1,300,0.29,0.29,0.11,"True",700
2,300,0.19,0.19,0.11,"True",700
3,300,0.29,0.19,0.11,"True",700
4,300,0.19,0.29,0.11,"False",700
5,300,0.29,0.29,0.11,"False",700
6,300,0.19,0.19,0.11,"False",700
7,300,0.29,0.19,0.11,"False",700
8,300,0.19,0.29,0.2,"True",700
9,300,0.29,0.29,0.2,"True",700
10,300,0.19,0.19,0.2,"True",700
11,300,0.29,0.19,0.2,"True",700
12,300,0.19,0.29,0.2,"False",700
13,300,0.29,0.29,0.2,"False",700
14,300,0.19,0.19,0.2,"False",700
15,300,0.29,0.19,0.2,"False",700
